Title,Director,Cast,Year,Language,movie_info
Baanam,Chaitanya Dantuluri,"Nara Rohit, Vedhika",2009,Telugu,"Movie Title: Baanam. Directed by: Chaitanya Dantuluri. Starring: Nara Rohit, Vedhika. Released in: 2009."
Oy!,Anand Ranga,"Siddharth, Shamili, Sunil, Saptagiri, Napoleon",2009,Telugu,"Movie Title: Oy!. Directed by: Anand Ranga. Starring: Siddharth, Shamili, Sunil, Saptagiri, Napoleon. Released in: 2009."
Kalavaramaye Madilo,Satish Kasetty,"Swati Reddy, Kamal Kamaraju",2009,Telugu,"Movie Title: Kalavaramaye Madilo. Directed by: Satish Kasetty. Starring: Swati Reddy, Kamal Kamaraju. Released in: 2009."
Sorry Aunty,Natti Kumar,"Uttej, Gundu Hanumantha Rao, Tirupathi Prakash",2001,Telugu,"Movie Title: Sorry Aunty. Directed by: Natti Kumar. Starring: Uttej, Gundu Hanumantha Rao, Tirupathi Prakash. Released in: 2001."
Vengamamba,Uday Bhaskar,"Meena, Sarath Babu, Sai Kiran",2009,Telugu,"Movie Title: Vengamamba. Directed by: Uday Bhaskar. Starring: Meena, Sarath Babu, Sai Kiran. Released in: 2009."
Magadheera,S. S. Rajamouli,"Ram Charan Teja, Kajal Agarwal",2009,Telugu,"Movie Title: Magadheera. Directed by: S. S. Rajamouli. Starring: Ram Charan Teja, Kajal Agarwal. Released in: 2009."
Anjaneyulu,Parasuram (Bujji),"Ravi Teja, Nayantara, Sonu Sood",2009,Telugu,"Movie Title: Anjaneyulu. Directed by: Parasuram (Bujji). Starring: Ravi Teja, Nayantara, Sonu Sood. Released in: 2009."
Josh,Vasu Varma,"Naga Chaitanya, Karthika Nair, J. D. Chakravarthy",2009,Telugu,"Movie Title: Josh. Directed by: Vasu Varma. Starring: Naga Chaitanya, Karthika Nair, J. D. Chakravarthy. Released in: 2009."
Gopi Gopika Godavari,Vamsy,"Venu, Kamalinee Mukherjee",2009,Telugu,"Movie Title: Gopi Gopika Godavari. Directed by: Vamsy. Starring: Venu, Kamalinee Mukherjee. Released in: 2009."
Karma,Adivi Sesh,"Adivi Sesh, Jade Tailor, Sher Ali",2010,Telugu,"Movie Title: Karma. Directed by: Adivi Sesh. Starring: Adivi Sesh, Jade Tailor, Sher Ali. Released in: 2010."
Premaku Swagatam,S. V. Krishna Reddy,"J. D. Chakravarthy, Soundarya",2002,Telugu,"Movie Title: Premaku Swagatam. Directed by: S. V. Krishna Reddy. Starring: J. D. Chakravarthy, Soundarya. Released in: 2002."
Thimmaraju,Vemagiri,"Ali, Deepthi",2011,Telugu,"Movie Title: Thimmaraju. Directed by: Vemagiri. Starring: Ali, Deepthi. Released in: 2011."
Anta Mana Manchike,K. Veeru,"Rajendra Prasad, Rachana Banerjee, Asha Saini",2000,Telugu,"Movie Title: Anta Mana Manchike. Directed by: K. Veeru. Starring: Rajendra Prasad, Rachana Banerjee, Asha Saini. Released in: 2000."
Amayakudu,Bharathi Ganesh,"Krishnudu, Poonam Singar, Ananya",2011,Telugu,"Movie Title: Amayakudu. Directed by: Bharathi Ganesh. Starring: Krishnudu, Poonam Singar, Ananya. Released in: 2011."
Kodipunju,BVV Choudhary,"Tanish, Anchal Sabharwal, Roja",2011,Telugu,"Movie Title: Kodipunju. Directed by: BVV Choudhary. Starring: Tanish, Anchal Sabharwal, Roja. Released in: 2011."
Sanchalanam,B V Ramana Reddy,"Kamalakar, Saikumar, Supreet",2011,Telugu,"Movie Title: Sanchalanam. Directed by: B V Ramana Reddy. Starring: Kamalakar, Saikumar, Supreet. Released in: 2011."
Kandireega,Santosh Srinivas,"Ram, Hansika Motwani, Sonu Sood, Aksha Pardasany",2011,Telugu,"Movie Title: Kandireega. Directed by: Santosh Srinivas. Starring: Ram, Hansika Motwani, Sonu Sood, Aksha Pardasany. Released in: 2011."
Dhada,Ajay Bhuyan,"Naga Chaitanya, Kajal Aggarwal, Samiksha, Sreeram, Brahmanandam, Kelly Dorjee",2011,Telugu,"Movie Title: Dhada. Directed by: Ajay Bhuyan. Starring: Naga Chaitanya, Kajal Aggarwal, Samiksha, Sreeram, Brahmanandam, Kelly Dorjee. Released in: 2011."
Mugguru,V. N. Aditya,"Navdeep, Sivaji, Shraddha Das, Srinivas Avasarala, Sanjana, Reema Sen",2011,Telugu,"Movie Title: Mugguru. Directed by: V. N. Aditya. Starring: Navdeep, Sivaji, Shraddha Das, Srinivas Avasarala, Sanjana, Reema Sen. Released in: 2011."
Keratam,Gautam Patnaik,"Siddharth Rajkumar, Rakul Preet Singh, Aishwarya",2011,Telugu,"Movie Title: Keratam. Directed by: Gautam Patnaik. Starring: Siddharth Rajkumar, Rakul Preet Singh, Aishwarya. Released in: 2011."
Daggaraga Dooranga,Ravi Chavali,"Sumanth, Vedhika",2011,Telugu,"Movie Title: Daggaraga Dooranga. Directed by: Ravi Chavali. Starring: Sumanth, Vedhika. Released in: 2011."
"Money Money, More Money",J. D. Chakravarthy,"J. D. Chakravarthy, Gajala, Brahmanandam, Asha Saini",2011,Telugu,"Movie Title: Money Money, More Money. Directed by: J. D. Chakravarthy. Starring: J. D. Chakravarthy, Gajala, Brahmanandam, Asha Saini. Released in: 2011."
Nenu Nanna Abaddam,Govind Varaha,"Nandu, Divya, Archana",2011,Telugu,"Movie Title: Nenu Nanna Abaddam. Directed by: Govind Varaha. Starring: Nandu, Divya, Archana. Released in: 2011."
Aakasame Haddu,Raavicharan,"Navdeep, Rajeev Saluri, Panchi Bora",2011,Telugu,"Movie Title: Aakasame Haddu. Directed by: Raavicharan. Starring: Navdeep, Rajeev Saluri, Panchi Bora. Released in: 2011."
Poru Telangana,R. Narayana Murthy,R. Narayana Murthy,2011,Telugu,Movie Title: Poru Telangana. Directed by: R. Narayana Murthy. Starring: R. Narayana Murthy. Released in: 2011.
Chiru Navvutho,Vijaybhaskar,"Venu Thottempudi, Shaheen Khan, Sunil",2000,Telugu,"Movie Title: Chiru Navvutho. Directed by: Vijaybhaskar. Starring: Venu Thottempudi, Shaheen Khan, Sunil. Released in: 2000."
Vijayaramaraju,Veera Shankar,"Srihari, Urvashi",2000,Telugu,"Movie Title: Vijayaramaraju. Directed by: Veera Shankar. Starring: Srihari, Urvashi. Released in: 2000."
Subhavela,Ramana,"Ravikanth, Anasuya",2000,Telugu,"Movie Title: Subhavela. Directed by: Ramana. Starring: Ravikanth, Anasuya. Released in: 2000."
Mangala,Osho Thulasi Ram,"Charmy Kaur, Pradeep Rawat, Subhash",2011,Telugu,"Movie Title: Mangala. Directed by: Osho Thulasi Ram. Starring: Charmy Kaur, Pradeep Rawat, Subhash. Released in: 2011."
Vara Prasad Potti Prasad,Satya Varanasi,"Srinivas Avasarala, Vijay Sai, Karina Shah, Priya Ahuja",2011,Telugu,"Movie Title: Vara Prasad Potti Prasad. Directed by: Satya Varanasi. Starring: Srinivas Avasarala, Vijay Sai, Karina Shah, Priya Ahuja. Released in: 2011."
Kudirithe Kappu Coffee,Ramana Salva,"Varun Sandesh, Suma Bhattacharya",2011,Telugu,"Movie Title: Kudirithe Kappu Coffee. Directed by: Ramana Salva. Starring: Varun Sandesh, Suma Bhattacharya. Released in: 2011."
LBW: Life Before Wedding,Praveen Sattaru,"Abhijith Pundla, Asif Raj, Chinmayi Ghatrazu, Siddhu Jonnalagadda, Nishanthi Evani",2011,Telugu,"Movie Title: LBW: Life Before Wedding. Directed by: Praveen Sattaru. Starring: Abhijith Pundla, Asif Raj, Chinmayi Ghatrazu, Siddhu Jonnalagadda, Nishanthi Evani. Released in: 2011."
Dookudu,Srinu Vaitla,"Mahesh Babu, Samantha Ruth Prabhu, Sonu Sood, Prakash Raj",2011,Telugu,"Movie Title: Dookudu. Directed by: Srinu Vaitla. Starring: Mahesh Babu, Samantha Ruth Prabhu, Sonu Sood, Prakash Raj. Released in: 2011."
Madatha Kaja,Seetarama Raju,"Allari Naresh, Sneha Ullal",2011,Telugu,"Movie Title: Madatha Kaja. Directed by: Seetarama Raju. Starring: Allari Naresh, Sneha Ullal. Released in: 2011."
Cricket Girls & Beer,S. Umesh Kumar,"Adarsh Balakrishna, Surya Tej, Naga Shourya, Sindhu Affan",2011,Telugu,"Movie Title: Cricket Girls & Beer. Directed by: S. Umesh Kumar. Starring: Adarsh Balakrishna, Surya Tej, Naga Shourya, Sindhu Affan. Released in: 2011."
Vankaya Fry,Chandramouli,"Sumith Arora, Anu Smrithi, Brahmanandam",2011,Telugu,"Movie Title: Vankaya Fry. Directed by: Chandramouli. Starring: Sumith Arora, Anu Smrithi, Brahmanandam. Released in: 2011."
