Title,Director,Cast,Year,Language,movie_info
Manchukurisevelalo,Bala Bodepudi,"Ram Karthik, Pranali Ghoghare, Vijay Sai, Chammak Chandra",2018,Telugu,"Movie Title: Manchukurisevelalo. Directed by: Bala Bodepudi. Starring: Ram Karthik, Pranali Ghoghare, Vijay Sai, Chammak Chandra. Released in: 2018."
Burrakatha,Diamond Ratna Babu,"Aadi Saikumar, Mishti, Rajendra Prasad, Abhimanyu Singh",2019,Telugu,"Movie Title: Burrakatha. Directed by: Diamond Ratna Babu. Starring: Aadi Saikumar, Mishti, Rajendra Prasad, Abhimanyu Singh. Released in: 2019."
Where Is the Venkatalakshmi,Kishore Kumar,"Raai Laxmi, Pujita Ponnada, Ram Karthik, Praveen, Brahmaji, Madhunandan",2019,Telugu,"Movie Title: Where Is the Venkatalakshmi. Directed by: Kishore Kumar. Starring: Raai Laxmi, Pujita Ponnada, Ram Karthik, Praveen, Brahmaji, Madhunandan. Released in: 2019."
Adhrushyam,Ravi Prakash Krishnamsetty,"Jaan, Angana Roy, Kalpana, Jabardasth Appa Rao, R. P. Vinod",2019,Telugu,"Movie Title: Adhrushyam. Directed by: Ravi Prakash Krishnamsetty. Starring: Jaan, Angana Roy, Kalpana, Jabardasth Appa Rao, R. P. Vinod. Released in: 2019."
Abhinetri 2,A. L. Vijay,"Prabhu Deva, Tamannaah, Nandita Swetha, Dimple Hayathi",2019,Telugu,"Movie Title: Abhinetri 2. Directed by: A. L. Vijay. Starring: Prabhu Deva, Tamannaah, Nandita Swetha, Dimple Hayathi. Released in: 2019."
December 31,G. Kondal Rao,"Navakanth, Seetha, Saptagiri, Nutan Prasad, Posani Krishna Murali",2019,Telugu,"Movie Title: December 31. Directed by: G. Kondal Rao. Starring: Navakanth, Seetha, Saptagiri, Nutan Prasad, Posani Krishna Murali. Released in: 2019."
Falaknuma Das,Vishwak Sen,"Vishwak Sen, Saloni Mishra, Harshita Gaur, Prashanthi Charuolingah, Tharun Bhascker Dhaassyam, Abhinav Gomatam",2019,Telugu,"Movie Title: Falaknuma Das. Directed by: Vishwak Sen. Starring: Vishwak Sen, Saloni Mishra, Harshita Gaur, Prashanthi Charuolingah, Tharun Bhascker Dhaassyam, Abhinav Gomatam. Released in: 2019."
Seven,Nizar Shafi,"Havish, Nandita Swetha, Rahman, Regina Cassandra, Anisha Ambrose",2019,Telugu,"Movie Title: Seven. Directed by: Nizar Shafi. Starring: Havish, Nandita Swetha, Rahman, Regina Cassandra, Anisha Ambrose. Released in: 2019."
Hippi,Krishna,"Kartikeya Gummakonda, Digangana Suryavanshi, J. D. Chakravarthy, Brahmaji, Vennela Kishore",2019,Telugu,"Movie Title: Hippi. Directed by: Krishna. Starring: Kartikeya Gummakonda, Digangana Suryavanshi, J. D. Chakravarthy, Brahmaji, Vennela Kishore. Released in: 2019."
Ek,Sampath V. Rudra,"Bishnu Adhikari, Abhinav Sardar, Aparna Sharma, Himanshi Khurana, Suman",2019,Telugu,"Movie Title: Ek. Directed by: Sampath V. Rudra. Starring: Bishnu Adhikari, Abhinav Sardar, Aparna Sharma, Himanshi Khurana, Suman. Released in: 2019."
Game Over,Ashwin Saravanan,"Taapsee Pannu, Vinodhini Vaidyanathan, Anish Kuruvilla, Sanchana Natarajan",2019,Telugu,"Movie Title: Game Over. Directed by: Ashwin Saravanan. Starring: Taapsee Pannu, Vinodhini Vaidyanathan, Anish Kuruvilla, Sanchana Natarajan. Released in: 2019."
Vajra Kavachadhara Govinda,Arun Pawar,"Saptagiri, Vaibhavi Joshi, Veda Sastry, Jabardasth Srinu",2019,Telugu,"Movie Title: Vajra Kavachadhara Govinda. Directed by: Arun Pawar. Starring: Saptagiri, Vaibhavi Joshi, Veda Sastry, Jabardasth Srinu. Released in: 2019."
Viswamitra,Raajkiran,"Prasanna, Nanditha Raj, Ashutosh Rana, Satyam Rajesh",2019,Telugu,"Movie Title: Viswamitra. Directed by: Raajkiran. Starring: Prasanna, Nanditha Raj, Ashutosh Rana, Satyam Rajesh. Released in: 2019."
1st Rank Raju,Naresh Kumar H. N.,"Chethan Maddineni, Kashish Vohra, Prakash Raj, Vennela Kishore, Naresh",2019,Telugu,"Movie Title: 1st Rank Raju. Directed by: Naresh Kumar H. N.. Starring: Chethan Maddineni, Kashish Vohra, Prakash Raj, Vennela Kishore, Naresh. Released in: 2019."
Agent Sai Srinivasa Athreya,Swaroop RSJ,"Naveen Polishetty, Shruthi Sharma, Appaji Ambarisha Darbha",2019,Telugu,"Movie Title: Agent Sai Srinivasa Athreya. Directed by: Swaroop RSJ. Starring: Naveen Polishetty, Shruthi Sharma, Appaji Ambarisha Darbha. Released in: 2019."
Mallesham,Raj. R,"Priyadarshi Pulikonda, Ananya Nagalla, Ananda Chakrapani, Jagadish Pratap Bhandari",2019,Telugu,"Movie Title: Mallesham. Directed by: Raj. R. Starring: Priyadarshi Pulikonda, Ananya Nagalla, Ananda Chakrapani, Jagadish Pratap Bhandari. Released in: 2019."
Special – The Story of a Mind Reader,Vastav,"Ajay, Ranga, Akshatha, Jabardasth Appa Rao",2019,Telugu,"Movie Title: Special – The Story of a Mind Reader. Directed by: Vastav. Starring: Ajay, Ranga, Akshatha, Jabardasth Appa Rao. Released in: 2019."
Voter,G. S. Karthik,"Manchu Vishnu, Surabhi, Sampath Raj, Jayaprakash, Nassar, Posani Krishna Murali",2019,Telugu,"Movie Title: Voter. Directed by: G. S. Karthik. Starring: Manchu Vishnu, Surabhi, Sampath Raj, Jayaprakash, Nassar, Posani Krishna Murali. Released in: 2019."
Brochevarevarura,Vivek Athreya,"Sree Vishnu, Rahul Ramakrishna, Nivetha Thomas, Satyadev, Priyadarshi Pulikonda",2019,Telugu,"Movie Title: Brochevarevarura. Directed by: Vivek Athreya. Starring: Sree Vishnu, Rahul Ramakrishna, Nivetha Thomas, Satyadev, Priyadarshi Pulikonda. Released in: 2019."
Captain Rana Prathap,Haranath Policherla,"Haranath Policherla, Puneet Issar, Nishi Gandha",2019,Telugu,"Movie Title: Captain Rana Prathap. Directed by: Haranath Policherla. Starring: Haranath Policherla, Puneet Issar, Nishi Gandha. Released in: 2019."
Kalki,Prasanth Varma,"Dr. Rajasekhar, Nandita Swetha, Adah Sharma, Pujita Ponnada, Rahul Ramakrishna, Nassar, Ashutosh Rana",2019,Telugu,"Movie Title: Kalki. Directed by: Prasanth Varma. Starring: Dr. Rajasekhar, Nandita Swetha, Adah Sharma, Pujita Ponnada, Rahul Ramakrishna, Nassar, Ashutosh Rana. Released in: 2019."
Sita,Teja,"Kajal Aggarwal, Bellamkonda Sreenivas, Sonu Sood",2019,Telugu,"Movie Title: Sita. Directed by: Teja. Starring: Kajal Aggarwal, Bellamkonda Sreenivas, Sonu Sood. Released in: 2019."
Swayamvadha,Vivek Varma,"Aditya Alluri, Anika Rao, Dhanraj, Posani Krishna Murali",2019,Telugu,"Movie Title: Swayamvadha. Directed by: Vivek Varma. Starring: Aditya Alluri, Anika Rao, Dhanraj, Posani Krishna Murali. Released in: 2019."
Romantic Criminals,P. Sunil Kumar Reddy,"Manoj Nandam, Avantika Munni, Divya Vijju, K. Vinay",2019,Telugu,"Movie Title: Romantic Criminals. Directed by: P. Sunil Kumar Reddy. Starring: Manoj Nandam, Avantika Munni, Divya Vijju, K. Vinay. Released in: 2019."
Enthavaraalaina,Guru Chindepalli,"Advaith, Zaheeda Syam",2019,Telugu,"Movie Title: Enthavaraalaina. Directed by: Guru Chindepalli. Starring: Advaith, Zaheeda Syam. Released in: 2019."
Cheddi Gang,Kanagala Ramesh Chowdhary,"Srinivasa Reddy, Devan, Baburaj",2019,Telugu,"Movie Title: Cheddi Gang. Directed by: Kanagala Ramesh Chowdhary. Starring: Srinivasa Reddy, Devan, Baburaj. Released in: 2019."
Vinara Sodara Veera Kumara,Sateesh Chandra Nadella,"Srinivas Sai, Priyanka Jain, Uttej, Jhansi",2019,Telugu,"Movie Title: Vinara Sodara Veera Kumara. Directed by: Sateesh Chandra Nadella. Starring: Srinivas Sai, Priyanka Jain, Uttej, Jhansi. Released in: 2019."
Lakshmi's NTR,Ram Gopal Varma Agasthya Manju,"P. Vijay Kumar, Yagna Shetty, Sritej",2019,Telugu,"Movie Title: Lakshmi's NTR. Directed by: Ram Gopal Varma Agasthya Manju. Starring: P. Vijay Kumar, Yagna Shetty, Sritej. Released in: 2019."
Suryakantham,Pranith Bramandapally,"Niharika Konidela, Rahul Vijay, Shivaji Raja, Suhasini Maniratnam",2019,Telugu,"Movie Title: Suryakantham. Directed by: Pranith Bramandapally. Starring: Niharika Konidela, Rahul Vijay, Shivaji Raja, Suhasini Maniratnam. Released in: 2019."
Majili,Shiva Nirvana,"Naga Chaitanya Akkineni, Samantha Akkineni, Divyansha Kaushik, Subbaraju, Rao Ramesh, Atul Kulkarni, Posani Krishna Murali",2019,Telugu,"Movie Title: Majili. Directed by: Shiva Nirvana. Starring: Naga Chaitanya Akkineni, Samantha Akkineni, Divyansha Kaushik, Subbaraju, Rao Ramesh, Atul Kulkarni, Posani Krishna Murali. Released in: 2019."
Prema Katha Chitram 2,Hari Krishna,"Sumanth Ashwin, Nandita Swetha",2019,Telugu,"Movie Title: Prema Katha Chitram 2. Directed by: Hari Krishna. Starring: Sumanth Ashwin, Nandita Swetha. Released in: 2019."
Chitralahari,Kishore Tirumala,"Sai Dharam Tej, Kalyani Priyadarshan, Nivetha Pethuraj, Sunil, Vennela Kishore, Posani Krishna Murali, Brahmaji",2019,Telugu,"Movie Title: Chitralahari. Directed by: Kishore Tirumala. Starring: Sai Dharam Tej, Kalyani Priyadarshan, Nivetha Pethuraj, Sunil, Vennela Kishore, Posani Krishna Murali, Brahmaji. Released in: 2019."
Runam,Srinivas Gundareddy,"Gopi Krishna, Priyanka Augustine, Mahendar, Shilpa",2019,Telugu,"Movie Title: Runam. Directed by: Srinivas Gundareddy. Starring: Gopi Krishna, Priyanka Augustine, Mahendar, Shilpa. Released in: 2019."
Prematho Cheppana,Ranga Ravinder Gupta,"Udaytej, Bhanu Sri Mehra",2019,Telugu,"Movie Title: Prematho Cheppana. Directed by: Ranga Ravinder Gupta. Starring: Udaytej, Bhanu Sri Mehra. Released in: 2019."
Jersey,Gowtam Tinnanuri,"Nani, Shraddha Srinath, Sathyaraj, Sampath Raj, Harish Kalyan, Viswant",2019,Telugu,"Movie Title: Jersey. Directed by: Gowtam Tinnanuri. Starring: Nani, Shraddha Srinath, Sathyaraj, Sampath Raj, Harish Kalyan, Viswant. Released in: 2019."
Danger Love Story,Shekar Chandra,"Khayyum Gaurav, Adia, Madhulagna Das, Jabardasth Appa Rao",2019,Telugu,"Movie Title: Danger Love Story. Directed by: Shekar Chandra. Starring: Khayyum Gaurav, Adia, Madhulagna Das, Jabardasth Appa Rao. Released in: 2019."
Diksoochi,Dilip Kumar Salvadi,"Dilip Kumar Salvadi, Chandni Bhagwanani, Sammeta Gandhi, Chatrapathi Sekhar",2019,Telugu,"Movie Title: Diksoochi. Directed by: Dilip Kumar Salvadi. Starring: Dilip Kumar Salvadi, Chandni Bhagwanani, Sammeta Gandhi, Chatrapathi Sekhar. Released in: 2019."
Duppatlo Minnagu,Yandamuri Veerendranath,"Naveen Thirthahalli, Chirashree Anchan",2019,Telugu,"Movie Title: Duppatlo Minnagu. Directed by: Yandamuri Veerendranath. Starring: Naveen Thirthahalli, Chirashree Anchan. Released in: 2019."
Nuvvu Thopu Raa,B. Harinath Babu,"Sudhakar Komakula, Nithya Shetty, Nirosha",2019,Telugu,"Movie Title: Nuvvu Thopu Raa. Directed by: B. Harinath Babu. Starring: Sudhakar Komakula, Nithya Shetty, Nirosha. Released in: 2019."
Okate Life,M. Venkat,"Ramesh Choudary, Shruti Yugal, Suman, Nalla Venu",2019,Telugu,"Movie Title: Okate Life. Directed by: M. Venkat. Starring: Ramesh Choudary, Shruti Yugal, Suman, Nalla Venu. Released in: 2019."
Rangu Paduddi,S. Shyam Prasad,"Ali, Raghu Babu, Dhanraj, Suman Shetty",2019,Telugu,"Movie Title: Rangu Paduddi. Directed by: S. Shyam Prasad. Starring: Ali, Raghu Babu, Dhanraj, Suman Shetty. Released in: 2019."
Maharshi,Vamsi Paidipally,"Mahesh Babu, Pooja Hegde, Allari Naresh, Jagapathi Babu, Prakash Raj",2019,Telugu,"Movie Title: Maharshi. Directed by: Vamsi Paidipally. Starring: Mahesh Babu, Pooja Hegde, Allari Naresh, Jagapathi Babu, Prakash Raj. Released in: 2019."
ABCD: American Born Confused Desi,Sanjeev Reddy,"Allu Sirish, Rukshar Dhillon, Nagendra Babu, Master Bharath, Kota Srinivasa Rao",2019,Telugu,"Movie Title: ABCD: American Born Confused Desi. Directed by: Sanjeev Reddy. Starring: Allu Sirish, Rukshar Dhillon, Nagendra Babu, Master Bharath, Kota Srinivasa Rao. Released in: 2019."
Chikati Gadilo Chithakotudu,Santhosh P. Jayakumar,"Adith Arun, Bhagyashree Mote, Sayantani Guhathakurta, Nikki Tamboli, Posani Krishna Murali, Rajendran",2019,Telugu,"Movie Title: Chikati Gadilo Chithakotudu. Directed by: Santhosh P. Jayakumar. Starring: Adith Arun, Bhagyashree Mote, Sayantani Guhathakurta, Nikki Tamboli, Posani Krishna Murali, Rajendran. Released in: 2019."
Gulf,P. Sunil Kumar Reddy,"Chethan Maddineni, Dimple, Tanikella Bharani, Posani Krishna Murali",2017,Telugu,"Movie Title: Gulf. Directed by: P. Sunil Kumar Reddy. Starring: Chethan Maddineni, Dimple, Tanikella Bharani, Posani Krishna Murali. Released in: 2017."
Oye Ninne,Satyam Challakoti,"Bharath Margani, Srushti Dange, Thagubothu Ramesh, Thulasi Shivamani",2017,Telugu,"Movie Title: Oye Ninne. Directed by: Satyam Challakoti. Starring: Bharath Margani, Srushti Dange, Thagubothu Ramesh, Thulasi Shivamani. Released in: 2017."
Nenu Kidnap Ayyanu,Sreekara Babu,"Posani Krishna Murali, Brahmanandam, Krishna Bhagawan, Srikanth, Dheeru, Soumithri, Aditi Singh",2017,Telugu,"Movie Title: Nenu Kidnap Ayyanu. Directed by: Sreekara Babu. Starring: Posani Krishna Murali, Brahmanandam, Krishna Bhagawan, Srikanth, Dheeru, Soumithri, Aditi Singh. Released in: 2017."
Thanu Nenu,Ram Mohan,"Santosh Sobhan, Avika Gor",2015,Telugu,"Movie Title: Thanu Nenu. Directed by: Ram Mohan. Starring: Santosh Sobhan, Avika Gor. Released in: 2015."
Veediki Dookudekkuva,SatyaNarayana,"Srikanth, Kamna Jethmalani",2015,Telugu,"Movie Title: Veediki Dookudekkuva. Directed by: SatyaNarayana. Starring: Srikanth, Kamna Jethmalani. Released in: 2015."
Sankarabharanam,Uday,"Nikhil, Nanditha",2015,Telugu,"Movie Title: Sankarabharanam. Directed by: Uday. Starring: Nikhil, Nanditha. Released in: 2015."
Bengal Tiger,Sampath Nandi,"Ravi Teja, Tamannaah Bhatia, Boman Irani, Raashi Khanna",2015,Telugu,"Movie Title: Bengal Tiger. Directed by: Sampath Nandi. Starring: Ravi Teja, Tamannaah Bhatia, Boman Irani, Raashi Khanna. Released in: 2015."
Hitudu,Viplav,"Jagapathi Babu, Meera Nandan",2015,Telugu,"Movie Title: Hitudu. Directed by: Viplav. Starring: Jagapathi Babu, Meera Nandan. Released in: 2015."
Anaganaga Oka Chitram,J. Prabhakar Reddy,"Shiva, Meghashree",2015,Telugu,"Movie Title: Anaganaga Oka Chitram. Directed by: J. Prabhakar Reddy. Starring: Shiva, Meghashree. Released in: 2015."
Kaki: Sound of Warning,Manon M,"Ashok, Meghashree, Sangeetha Bhat, Kiran Pattikonda",2015,Telugu,"Movie Title: Kaki: Sound of Warning. Directed by: Manon M. Starring: Ashok, Meghashree, Sangeetha Bhat, Kiran Pattikonda. Released in: 2015."
Loafer,Puri Jagannadh,"Varun Tej, Disha Patani",2015,Telugu,"Movie Title: Loafer. Directed by: Puri Jagannadh. Starring: Varun Tej, Disha Patani. Released in: 2015."
Soukhyam,AS Ravi Kumar Chowdhary,"Gopichand, Regina Cassandra, Mukesh Rishi, Pradeep Rawat",2015,Telugu,"Movie Title: Soukhyam. Directed by: AS Ravi Kumar Chowdhary. Starring: Gopichand, Regina Cassandra, Mukesh Rishi, Pradeep Rawat. Released in: 2015."
Bhale Manchi Roju,Sriram Adittya. T,"Sudheer Babu, Wamiqa Gabbi, Dhanya Balakrishna, Sai Kumar",2015,Telugu,"Movie Title: Bhale Manchi Roju. Directed by: Sriram Adittya. T. Starring: Sudheer Babu, Wamiqa Gabbi, Dhanya Balakrishna, Sai Kumar. Released in: 2015."
Mama Manchu Alludu Kanchu,Sriniwass Reddy,"Mohan Babu, Allari Naresh, Varun Sandesh, Poorna, Meena, Ramya Krishna",2015,Telugu,"Movie Title: Mama Manchu Alludu Kanchu. Directed by: Sriniwass Reddy. Starring: Mohan Babu, Allari Naresh, Varun Sandesh, Poorna, Meena, Ramya Krishna. Released in: 2015."
Jatha Kalise,Rakesh Sashii,"Ashwin Babu, Tejaswi Madivada, Snigdha, Shakalaka Shankar, Dhanaraj",2015,Telugu,"Movie Title: Jatha Kalise. Directed by: Rakesh Sashii. Starring: Ashwin Babu, Tejaswi Madivada, Snigdha, Shakalaka Shankar, Dhanaraj. Released in: 2015."
Chitram Bhalare Vichitram,Bhanu Prakash Balusu,"Chandini Tamilarasan, Sowmya, Subhasree, Jeeva, Surya, Venugopal Rao, Prabhas Sreenu, Allari Subhashini",2016,Telugu,"Movie Title: Chitram Bhalare Vichitram. Directed by: Bhanu Prakash Balusu. Starring: Chandini Tamilarasan, Sowmya, Subhasree, Jeeva, Surya, Venugopal Rao, Prabhas Sreenu, Allari Subhashini. Released in: 2016."
Abbayitho Ammayi,Ramesh Varma,"Naga Shourya, Palak Lalwani, Rao Ramesh, Brahmanandam, Mohan",2016,Telugu,"Movie Title: Abbayitho Ammayi. Directed by: Ramesh Varma. Starring: Naga Shourya, Palak Lalwani, Rao Ramesh, Brahmanandam, Mohan. Released in: 2016."
Nenu.. Sailaja...,Kishore Tirumala,"Ram Pothineni, Keerthy Suresh, Sathyaraj, Pradeep Rawat, Prince Cecil, Rohini",2016,Telugu,"Movie Title: Nenu.. Sailaja.... Directed by: Kishore Tirumala. Starring: Ram Pothineni, Keerthy Suresh, Sathyaraj, Pradeep Rawat, Prince Cecil, Rohini. Released in: 2016."
Nannaku Prematho,Sukumar,"Jr NTR, Rakul Preet, Jagapathi Babu, Rajendra Prasad",2016,Telugu,"Movie Title: Nannaku Prematho. Directed by: Sukumar. Starring: Jr NTR, Rakul Preet, Jagapathi Babu, Rajendra Prasad. Released in: 2016."
Express Raja,Merlapaka Gandhi,"Sharwanand, Surabhi, Harish Uthaman",2016,Telugu,"Movie Title: Express Raja. Directed by: Merlapaka Gandhi. Starring: Sharwanand, Surabhi, Harish Uthaman. Released in: 2016."
Size Zero,Prakash,"Arya, Anushka, Sonal Chauhan",2015,Telugu,"Movie Title: Size Zero. Directed by: Prakash. Starring: Arya, Anushka, Sonal Chauhan. Released in: 2015."
Cheekati Rajyam,Rajesh,"Kamal Haasan, Trisha, Prakash Raj",2015,Telugu,"Movie Title: Cheekati Rajyam. Directed by: Rajesh. Starring: Kamal Haasan, Trisha, Prakash Raj. Released in: 2015."
Kumari 21F,Surya Pratap,"Raj Tarun, Heebah Patel",2015,Telugu,"Movie Title: Kumari 21F. Directed by: Surya Pratap. Starring: Raj Tarun, Heebah Patel. Released in: 2015."
Akhil,Vinayak,"Akhil Akkineni, Sayyeshaa, Rajendra Prasad, Mahesh Manjrekar, Brahmanandam, Vennela Kishore",2015,Telugu,"Movie Title: Akhil. Directed by: Vinayak. Starring: Akhil Akkineni, Sayyeshaa, Rajendra Prasad, Mahesh Manjrekar, Brahmanandam, Vennela Kishore. Released in: 2015."
Srimanthudu,Koratala Siva,"Mahesh Babu, Shruti Haasan, Jagapathi Babu, Mukesh Rishi, Rajendra Prasad, Sampath Raj, Harish Uthaman",2015,Telugu,"Movie Title: Srimanthudu. Directed by: Koratala Siva. Starring: Mahesh Babu, Shruti Haasan, Jagapathi Babu, Mukesh Rishi, Rajendra Prasad, Sampath Raj, Harish Uthaman. Released in: 2015."
Cinema Choopistha Mava,Trinadha Rao Nakkina,"Raj Tarun, Avika Gor",2015,Telugu,"Movie Title: Cinema Choopistha Mava. Directed by: Trinadha Rao Nakkina. Starring: Raj Tarun, Avika Gor. Released in: 2015."
Kick 2,Surender Reddy,"Ravi Teja, Rakul Preet Singh, Ravi Kishan, Kabir Duhan Singh, Ashish Vidyarthi, Brahmanandam, Rajpal Yadav",2015,Telugu,"Movie Title: Kick 2. Directed by: Surender Reddy. Starring: Ravi Teja, Rakul Preet Singh, Ravi Kishan, Kabir Duhan Singh, Ashish Vidyarthi, Brahmanandam, Rajpal Yadav. Released in: 2015."
Best Actors,Arun Pawar,"Nandu, Madhurima, Madhunandan, Kesha, Varshini Soundaryarajan",2015,Telugu,"Movie Title: Best Actors. Directed by: Arun Pawar. Starring: Nandu, Madhurima, Madhunandan, Kesha, Varshini Soundaryarajan. Released in: 2015."
Dynamite,Deva Katta,"Manchu Vishnu, Pranitha Subhash, J. D. Chakravarthy",2015,Telugu,"Movie Title: Dynamite. Directed by: Deva Katta. Starring: Manchu Vishnu, Pranitha Subhash, J. D. Chakravarthy. Released in: 2015."
Bhale Bhale Magadivoy,Maruthi,"Nani, Lavanya Tripathi, Murali Sharma",2015,Telugu,"Movie Title: Bhale Bhale Magadivoy. Directed by: Maruthi. Starring: Nani, Lavanya Tripathi, Murali Sharma. Released in: 2015."
Courier Boy Kalyan,Premsai,"Nithiin, Yami Gautam",2015,Telugu,"Movie Title: Courier Boy Kalyan. Directed by: Premsai. Starring: Nithiin, Yami Gautam. Released in: 2015."
Subramanyam For Sale,Harish Shankar,"Sai Dharam Tej, Regina Cassandra, Adah Sharma, Brahmanandam",2015,Telugu,"Movie Title: Subramanyam For Sale. Directed by: Harish Shankar. Starring: Sai Dharam Tej, Regina Cassandra, Adah Sharma, Brahmanandam. Released in: 2015."
Dictator,Sriwass,"Nandamuri Balakrishna, Anjali, Sonal Chauhan",2016,Telugu,"Movie Title: Dictator. Directed by: Sriwass. Starring: Nandamuri Balakrishna, Anjali, Sonal Chauhan. Released in: 2016."
Chandrika,Yogesh,"Jayram Karthik, Kamna Jethmalani, Srimukhi, Girish Karnad, Satyam Rajesh",2015,Telugu,"Movie Title: Chandrika. Directed by: Yogesh. Starring: Jayram Karthik, Kamna Jethmalani, Srimukhi, Girish Karnad, Satyam Rajesh. Released in: 2015."
Rudhramadevi,Gunasekhar,"Anushka Shetty, Allu Arjun, Rana Daggubati, Krishnam Raju, Prakash Raj",2015,Telugu,"Movie Title: Rudhramadevi. Directed by: Gunasekhar. Starring: Anushka Shetty, Allu Arjun, Rana Daggubati, Krishnam Raju, Prakash Raj. Released in: 2015."
Bruce Lee,Srinu Vaitla,"Ram Charan, Rakul Preet Singh, Kriti Kharbanda, Arun Vijay, Brahmanandam",2015,Telugu,"Movie Title: Bruce Lee. Directed by: Srinu Vaitla. Starring: Ram Charan, Rakul Preet Singh, Kriti Kharbanda, Arun Vijay, Brahmanandam. Released in: 2015."
Kanche,Krish,"Varun Tej, Pragya Jaiswal, Nikitin Dheer, Srinivas Avasarala",2015,Telugu,"Movie Title: Kanche. Directed by: Krish. Starring: Varun Tej, Pragya Jaiswal, Nikitin Dheer, Srinivas Avasarala. Released in: 2015."
Columbus,R Samala,"Sumanth Ashwin, Seerat Kapoor, Mishti Chakraborty",2015,Telugu,"Movie Title: Columbus. Directed by: R Samala. Starring: Sumanth Ashwin, Seerat Kapoor, Mishti Chakraborty. Released in: 2015."
Raju Gari Gadhi,Omkar,"Ashwin Babu, Dhanya Balakrishna",2015,Telugu,"Movie Title: Raju Gari Gadhi. Directed by: Omkar. Starring: Ashwin Babu, Dhanya Balakrishna. Released in: 2015."
Sher,Mallikarjun,"Kalyan Ram, Sonal Chauhan, Vikramjeet Virk, Mukesh Rishi",2015,Telugu,"Movie Title: Sher. Directed by: Mallikarjun. Starring: Kalyan Ram, Sonal Chauhan, Vikramjeet Virk, Mukesh Rishi. Released in: 2015."
Tripura,Raj Kiran,"Colors Swathi, Naveen Chandra, Saptagiri, Rao Ramesh",2015,Telugu,"Movie Title: Tripura. Directed by: Raj Kiran. Starring: Colors Swathi, Naveen Chandra, Saptagiri, Rao Ramesh. Released in: 2015."
Red Alert,Chandra Mahesh,"H. H. Mahadev, Anjana Menon, Suman, Vinod Kumar Alva, Posani Krishna Murali, Ali",2015,Telugu,"Movie Title: Red Alert. Directed by: Chandra Mahesh. Starring: H. H. Mahadev, Anjana Menon, Suman, Vinod Kumar Alva, Posani Krishna Murali, Ali. Released in: 2015."
Shivam,Srinivas Reddy,"Ram, Raashi Khanna, Abhimanyu Singh",2015,Telugu,"Movie Title: Shivam. Directed by: Srinivas Reddy. Starring: Ram, Raashi Khanna, Abhimanyu Singh. Released in: 2015."
Mirchi Lanti Kurradu,Jayanag,"Abijeet, Pragya Jaiswal",2015,Telugu,"Movie Title: Mirchi Lanti Kurradu. Directed by: Jayanag. Starring: Abijeet, Pragya Jaiswal. Released in: 2015."
Soggade Chinni Nayana,Kalyan Krishna,"Nagarjuna, Ramya Krishnan, Lavanya Tripathi, Nassar, Sampath Raj, Brahmanandam",2016,Telugu,"Movie Title: Soggade Chinni Nayana. Directed by: Kalyan Krishna. Starring: Nagarjuna, Ramya Krishnan, Lavanya Tripathi, Nassar, Sampath Raj, Brahmanandam. Released in: 2016."
Seethamma Andalu Ramayya Sitralu,Gavireddy Srinivas Reddy,"Raj Tarun, Arthana, Aadarsh, Raja Ravindra",2016,Telugu,"Movie Title: Seethamma Andalu Ramayya Sitralu. Directed by: Gavireddy Srinivas Reddy. Starring: Raj Tarun, Arthana, Aadarsh, Raja Ravindra. Released in: 2016."
Romance With Finance,Rajju Kumpatla,"Merina Abraham, Satish Babu",2016,Telugu,"Movie Title: Romance With Finance. Directed by: Rajju Kumpatla. Starring: Merina Abraham, Satish Babu. Released in: 2016."
Run,Anil Kanneganti,"Sundeep Kishan, Anisha Ambrose, Bobby Simha",2016,Telugu,"Movie Title: Run. Directed by: Anil Kanneganti. Starring: Sundeep Kishan, Anisha Ambrose, Bobby Simha. Released in: 2016."
Oopiri,Vamsi Paidipally,"Nagarjuna, Karthi, Tamannaah",2016,Telugu,"Movie Title: Oopiri. Directed by: Vamsi Paidipally. Starring: Nagarjuna, Karthi, Tamannaah. Released in: 2016."
Mohabbat Mein,Mahesh Surya,"Karthik, Hamida",2016,Telugu,"Movie Title: Mohabbat Mein. Directed by: Mahesh Surya. Starring: Karthik, Hamida. Released in: 2016."
Ammayi Aaruguru,G. Muraliprasad,"Ramachandra, Aashalatha, Ravi",2016,Telugu,"Movie Title: Ammayi Aaruguru. Directed by: G. Muraliprasad. Starring: Ramachandra, Aashalatha, Ravi. Released in: 2016."
Meera,Santhosh Eubulus,"Aditya Anand, Ishika Singh",2016,Telugu,"Movie Title: Meera. Directed by: Santhosh Eubulus. Starring: Aditya Anand, Ishika Singh. Released in: 2016."
7 To 4,Vijay Sekhar Sankranth,"Anand Bachu, Raj Bala, Radhika, Loukya",2016,Telugu,"Movie Title: 7 To 4. Directed by: Vijay Sekhar Sankranth. Starring: Anand Bachu, Raj Bala, Radhika, Loukya. Released in: 2016."
Attack,Ram Gopal Varma,"Manchu Manoj, Surabhi, Jagapati Babu, Prakash Raj, Abhimanyu Singh, Poonam Kaur",2016,Telugu,"Movie Title: Attack. Directed by: Ram Gopal Varma. Starring: Manchu Manoj, Surabhi, Jagapati Babu, Prakash Raj, Abhimanyu Singh, Poonam Kaur. Released in: 2016."
